"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Sex: Male";"Total";"65 to 74 years";"R-U Culture, recreation, other services";"2020";4
"Sex: Male";"Total";"65 to 74 years";"R Culture, sports and recreation";"2020";2
"Sex: Male";"Total";"65 to 74 years";"S Other service activities";"2020";2
"Sex: Male";"Total";"75 years or older";"A-U All economic activities";"2020";11
"Sex: Male";"Total";"75 years or older";"A-F Agriculture and industry";"2020";2
"Sex: Male";"Total";"75 years or older";"A Agriculture, forestry and fishing";"2020";0
"Sex: Male";"Total";"75 years or older";"B-F Manifacturing and energy";"2020";1
"Sex: Male";"Total";"75 years or older";"B-E Industry (no construction), energy";"2020";1
"Sex: Male";"Total";"75 years or older";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"75 years or older";"C Manufacturing";"2020";1
"Sex: Male";"Total";"75 years or older";"D Energy supply";"2020";0
"Sex: Male";"Total";"75 years or older";"E Water supply and waste management";"2020";0
"Sex: Male";"Total";"75 years or older";"F Construction";"2020";1
"Sex: Male";"Total";"75 years or older";"G-N Commercial services";"2020";8
"Sex: Male";"Total";"75 years or older";"G-I Trade, transport, hotels, catering";"2020";4
"Sex: Male";"Total";"75 years or older";"G Wholesale and retail trade";"2020";3
"Sex: Male";"Total";"75 years or older";"H Transportation and storage";"2020";1
"Sex: Male";"Total";"75 years or older";"I Accommodation and food serving";"2020";0
"Sex: Male";"Total";"75 years or older";"J Information and communication";"2020";0
"Sex: Male";"Total";"75 years or older";"K Financial institutions";"2020";2
"Sex: Male";"Total";"75 years or older";"L Renting, buying, selling real estate";"2020";0
"Sex: Male";"Total";"75 years or older";"M-N Business services";"2020";2
"Sex: Male";"Total";"75 years or older";"M Other specialised business services";"2020";1
"Sex: Male";"Total";"75 years or older";"N Renting and other business support";"2020";1
"Sex: Male";"Total";"75 years or older";"O-U Noncommercial services";"2020";1
"Sex: Male";"Total";"75 years or older";"O-Q Government and care";"2020";1
"Sex: Male";"Total";"75 years or older";"O Public administration and services";"2020";0
"Sex: Male";"Total";"75 years or older";"P Education";"2020";0
"Sex: Male";"Total";"75 years or older";"Q Health and social work activities";"2020";0
"Sex: Male";"Total";"75 years or older";"R-U Culture, recreation, other services";"2020";1
"Sex: Male";"Total";"75 years or older";"R Culture, sports and recreation";"2020";0
"Sex: Male";"Total";"75 years or older";"S Other service activities";"2020";0
"Sex: Female";"Total";"Total";"A-U All economic activities";"2020";4029
"Sex: Female";"Total";"Total";"A-F Agriculture and industry";"2020";271
"Sex: Female";"Total";"Total";"A Agriculture, forestry and fishing";"2020";39
"Sex: Female";"Total";"Total";"B-F Manifacturing and energy";"2020";232
"Sex: Female";"Total";"Total";"B-E Industry (no construction), energy";"2020";190
"Sex: Female";"Total";"Total";"B Mining and quarrying ";"2020";1
"Sex: Female";"Total";"Total";"C Manufacturing";"2020";174
"Sex: Female";"Total";"Total";"D Energy supply";"2020";8
"Sex: Female";"Total";"Total";"E Water supply and waste management";"2020";7
"Sex: Female";"Total";"Total";"F Construction";"2020";42
"Sex: Female";"Total";"Total";"G-N Commercial services";"2020";1810
"Sex: Female";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020";953
"Sex: Female";"Total";"Total";"G Wholesale and retail trade";"2020";658
"Sex: Female";"Total";"Total";"H Transportation and storage";"2020";95
"Sex: Female";"Total";"Total";"I Accommodation and food serving";"2020";199
"Sex: Female";"Total";"Total";"J Information and communication";"2020";80
"Sex: Female";"Total";"Total";"K Financial institutions";"2020";108
"Sex: Female";"Total";"Total";"L Renting, buying, selling real estate";"2020";33
"Sex: Female";"Total";"Total";"M-N Business services";"2020";636
"Sex: Female";"Total";"Total";"M Other specialised business services";"2020";221
"Sex: Female";"Total";"Total";"N Renting and other business support";"2020";416
"Sex: Female";"Total";"Total";"O-U Noncommercial services";"2020";1948
"Sex: Female";"Total";"Total";"O-Q Government and care";"2020";1792
"Sex: Female";"Total";"Total";"O Public administration and services";"2020";230
"Sex: Female";"Total";"Total";"P Education";"2020";353
"Sex: Female";"Total";"Total";"Q Health and social work activities";"2020";1208
"Sex: Female";"Total";"Total";"R-U Culture, recreation, other services";"2020";156
"Sex: Female";"Total";"Total";"R Culture, sports and recreation";"2020";70
"Sex: Female";"Total";"Total";"S Other service activities";"2020";87
"Sex: Female";"Total";"Younger than 15 years";"A-U All economic activities";"2020";8
"Sex: Female";"Total";"Younger than 15 years";"A-F Agriculture and industry";"2020";2
"Sex: Female";"Total";"Younger than 15 years";"A Agriculture, forestry and fishing";"2020";1
"Sex: Female";"Total";"Younger than 15 years";"B-F Manifacturing and energy";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"B-E Industry (no construction), energy";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"C Manufacturing";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"D Energy supply";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"E Water supply and waste management";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"F Construction";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"G-N Commercial services";"2020";6
"Sex: Female";"Total";"Younger than 15 years";"G-I Trade, transport, hotels, catering";"2020";5
"Sex: Female";"Total";"Younger than 15 years";"G Wholesale and retail trade";"2020";4
"Sex: Female";"Total";"Younger than 15 years";"H Transportation and storage";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"I Accommodation and food serving";"2020";1
"Sex: Female";"Total";"Younger than 15 years";"J Information and communication";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"K Financial institutions";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"L Renting, buying, selling real estate";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"M-N Business services";"2020";1
"Sex: Female";"Total";"Younger than 15 years";"M Other specialised business services";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"N Renting and other business support";"2020";1
"Sex: Female";"Total";"Younger than 15 years";"O-U Noncommercial services";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"O-Q Government and care";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"O Public administration and services";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"P Education";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"Q Health and social work activities";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"R-U Culture, recreation, other services";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"R Culture, sports and recreation";"2020";0
"Sex: Female";"Total";"Younger than 15 years";"S Other service activities";"2020";0
"Sex: Female";"Total";"15 to 19 years";"A-U All economic activities";"2020";321
"Sex: Female";"Total";"15 to 19 years";"A-F Agriculture and industry";"2020";16
"Sex: Female";"Total";"15 to 19 years";"A Agriculture, forestry and fishing";"2020";7
"Sex: Female";"Total";"15 to 19 years";"B-F Manifacturing and energy";"2020";9
"Sex: Female";"Total";"15 to 19 years";"B-E Industry (no construction), energy";"2020";8
"Sex: Female";"Total";"15 to 19 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"15 to 19 years";"C Manufacturing";"2020";8
"Sex: Female";"Total";"15 to 19 years";"D Energy supply";"2020";0
"Sex: Female";"Total";"15 to 19 years";"E Water supply and waste management";"2020";0
"Sex: Female";"Total";"15 to 19 years";"F Construction";"2020";1
"Sex: Female";"Total";"15 to 19 years";"G-N Commercial services";"2020";253
"Sex: Female";"Total";"15 to 19 years";"G-I Trade, transport, hotels, catering";"2020";218
"Sex: Female";"Total";"15 to 19 years";"G Wholesale and retail trade";"2020";161
"Sex: Female";"Total";"15 to 19 years";"H Transportation and storage";"2020";2
"Sex: Female";"Total";"15 to 19 years";"I Accommodation and food serving";"2020";56
"Sex: Female";"Total";"15 to 19 years";"J Information and communication";"2020";2
"Sex: Female";"Total";"15 to 19 years";"K Financial institutions";"2020";1
"Sex: Female";"Total";"15 to 19 years";"L Renting, buying, selling real estate";"2020";1
"Sex: Female";"Total";"15 to 19 years";"M-N Business services";"2020";31
"Sex: Female";"Total";"15 to 19 years";"M Other specialised business services";"2020";5
"Sex: Female";"Total";"15 to 19 years";"N Renting and other business support";"2020";26
"Sex: Female";"Total";"15 to 19 years";"O-U Noncommercial services";"2020";53
"Sex: Female";"Total";"15 to 19 years";"O-Q Government and care";"2020";42
"Sex: Female";"Total";"15 to 19 years";"O Public administration and services";"2020";2
"Sex: Female";"Total";"15 to 19 years";"P Education";"2020";3
"Sex: Female";"Total";"15 to 19 years";"Q Health and social work activities";"2020";38
"Sex: Female";"Total";"15 to 19 years";"R-U Culture, recreation, other services";"2020";11
"Sex: Female";"Total";"15 to 19 years";"R Culture, sports and recreation";"2020";6
"Sex: Female";"Total";"15 to 19 years";"S Other service activities";"2020";5
"Sex: Female";"Total";"20 to 24 years";"A-U All economic activities";"2020";431
"Sex: Female";"Total";"20 to 24 years";"A-F Agriculture and industry";"2020";19
"Sex: Female";"Total";"20 to 24 years";"A Agriculture, forestry and fishing";"2020";5
"Sex: Female";"Total";"20 to 24 years";"B-F Manifacturing and energy";"2020";14
"Sex: Female";"Total";"20 to 24 years";"B-E Industry (no construction), energy";"2020";11
"Sex: Female";"Total";"20 to 24 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"20 to 24 years";"C Manufacturing";"2020";11
"Sex: Female";"Total";"20 to 24 years";"D Energy supply";"2020";0
"Sex: Female";"Total";"20 to 24 years";"E Water supply and waste management";"2020";0
"Sex: Female";"Total";"20 to 24 years";"F Construction";"2020";3
"Sex: Female";"Total";"20 to 24 years";"G-N Commercial services";"2020";246
"Sex: Female";"Total";"20 to 24 years";"G-I Trade, transport, hotels, catering";"2020";142
"Sex: Female";"Total";"20 to 24 years";"G Wholesale and retail trade";"2020";91
"Sex: Female";"Total";"20 to 24 years";"H Transportation and storage";"2020";6
"Sex: Female";"Total";"20 to 24 years";"I Accommodation and food serving";"2020";45
"Sex: Female";"Total";"20 to 24 years";"J Information and communication";"2020";8
"Sex: Female";"Total";"20 to 24 years";"K Financial institutions";"2020";4
"Sex: Female";"Total";"20 to 24 years";"L Renting, buying, selling real estate";"2020";2
"Sex: Female";"Total";"20 to 24 years";"M-N Business services";"2020";90
"Sex: Female";"Total";"20 to 24 years";"M Other specialised business services";"2020";22
"Sex: Female";"Total";"20 to 24 years";"N Renting and other business support";"2020";68
"Sex: Female";"Total";"20 to 24 years";"O-U Noncommercial services";"2020";166
"Sex: Female";"Total";"20 to 24 years";"O-Q Government and care";"2020";145
"Sex: Female";"Total";"20 to 24 years";"O Public administration and services";"2020";8
"Sex: Female";"Total";"20 to 24 years";"P Education";"2020";23
"Sex: Female";"Total";"20 to 24 years";"Q Health and social work activities";"2020";114
"Sex: Female";"Total";"20 to 24 years";"R-U Culture, recreation, other services";"2020";21
"Sex: Female";"Total";"20 to 24 years";"R Culture, sports and recreation";"2020";11
"Sex: Female";"Total";"20 to 24 years";"S Other service activities";"2020";10
"Sex: Female";"Total";"25 to 29 years";"A-U All economic activities";"2020";458
"Sex: Female";"Total";"25 to 29 years";"A-F Agriculture and industry";"2020";23
"Sex: Female";"Total";"25 to 29 years";"A Agriculture, forestry and fishing";"2020";3
"Sex: Female";"Total";"25 to 29 years";"B-F Manifacturing and energy";"2020";20
"Sex: Female";"Total";"25 to 29 years";"B-E Industry (no construction), energy";"2020";16
"Sex: Female";"Total";"25 to 29 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"25 to 29 years";"C Manufacturing";"2020";15
"Sex: Female";"Total";"25 to 29 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"25 to 29 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"25 to 29 years";"F Construction";"2020";4
"Sex: Female";"Total";"25 to 29 years";"G-N Commercial services";"2020";220
"Sex: Female";"Total";"25 to 29 years";"G-I Trade, transport, hotels, catering";"2020";94
"Sex: Female";"Total";"25 to 29 years";"G Wholesale and retail trade";"2020";63
"Sex: Female";"Total";"25 to 29 years";"H Transportation and storage";"2020";10
"Sex: Female";"Total";"25 to 29 years";"I Accommodation and food serving";"2020";21
"Sex: Female";"Total";"25 to 29 years";"J Information and communication";"2020";15
"Sex: Female";"Total";"25 to 29 years";"K Financial institutions";"2020";10
"Sex: Female";"Total";"25 to 29 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Female";"Total";"25 to 29 years";"M-N Business services";"2020";98
"Sex: Female";"Total";"25 to 29 years";"M Other specialised business services";"2020";38
"Sex: Female";"Total";"25 to 29 years";"N Renting and other business support";"2020";60
"Sex: Female";"Total";"25 to 29 years";"O-U Noncommercial services";"2020";214
"Sex: Female";"Total";"25 to 29 years";"O-Q Government and care";"2020";195
"Sex: Female";"Total";"25 to 29 years";"O Public administration and services";"2020";19
"Sex: Female";"Total";"25 to 29 years";"P Education";"2020";38
"Sex: Female";"Total";"25 to 29 years";"Q Health and social work activities";"2020";139
"Sex: Female";"Total";"25 to 29 years";"R-U Culture, recreation, other services";"2020";19
"Sex: Female";"Total";"25 to 29 years";"R Culture, sports and recreation";"2020";8
"Sex: Female";"Total";"25 to 29 years";"S Other service activities";"2020";11
"Sex: Female";"Total";"30 to 34 years";"A-U All economic activities";"2020";424
"Sex: Female";"Total";"30 to 34 years";"A-F Agriculture and industry";"2020";26
"Sex: Female";"Total";"30 to 34 years";"A Agriculture, forestry and fishing";"2020";3
"Sex: Female";"Total";"30 to 34 years";"B-F Manifacturing and energy";"2020";23
"Sex: Female";"Total";"30 to 34 years";"B-E Industry (no construction), energy";"2020";19
"Sex: Female";"Total";"30 to 34 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"30 to 34 years";"C Manufacturing";"2020";17
"Sex: Female";"Total";"30 to 34 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"30 to 34 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"30 to 34 years";"F Construction";"2020";4
"Sex: Female";"Total";"30 to 34 years";"G-N Commercial services";"2020";182
"Sex: Female";"Total";"30 to 34 years";"G-I Trade, transport, hotels, catering";"2020";77
"Sex: Female";"Total";"30 to 34 years";"G Wholesale and retail trade";"2020";54
"Sex: Female";"Total";"30 to 34 years";"H Transportation and storage";"2020";10
"Sex: Female";"Total";"30 to 34 years";"I Accommodation and food serving";"2020";14
"Sex: Female";"Total";"30 to 34 years";"J Information and communication";"2020";14
"Sex: Female";"Total";"30 to 34 years";"K Financial institutions";"2020";12
"Sex: Female";"Total";"30 to 34 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Female";"Total";"30 to 34 years";"M-N Business services";"2020";75
"Sex: Female";"Total";"30 to 34 years";"M Other specialised business services";"2020";30
"Sex: Female";"Total";"30 to 34 years";"N Renting and other business support";"2020";44
"Sex: Female";"Total";"30 to 34 years";"O-U Noncommercial services";"2020";216
"Sex: Female";"Total";"30 to 34 years";"O-Q Government and care";"2020";200
"Sex: Female";"Total";"30 to 34 years";"O Public administration and services";"2020";23
"Sex: Female";"Total";"30 to 34 years";"P Education";"2020";43
"Sex: Female";"Total";"30 to 34 years";"Q Health and social work activities";"2020";133
"Sex: Female";"Total";"30 to 34 years";"R-U Culture, recreation, other services";"2020";17
"Sex: Female";"Total";"30 to 34 years";"R Culture, sports and recreation";"2020";7
"Sex: Female";"Total";"30 to 34 years";"S Other service activities";"2020";10
"Sex: Female";"Total";"35 to 39 years";"A-U All economic activities";"2020";386
"Sex: Female";"Total";"35 to 39 years";"A-F Agriculture and industry";"2020";27
"Sex: Female";"Total";"35 to 39 years";"A Agriculture, forestry and fishing";"2020";3
"Sex: Female";"Total";"35 to 39 years";"B-F Manifacturing and energy";"2020";25
"Sex: Female";"Total";"35 to 39 years";"B-E Industry (no construction), energy";"2020";20
"Sex: Female";"Total";"35 to 39 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"35 to 39 years";"C Manufacturing";"2020";18
"Sex: Female";"Total";"35 to 39 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"35 to 39 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"35 to 39 years";"F Construction";"2020";5
"Sex: Female";"Total";"35 to 39 years";"G-N Commercial services";"2020";157
"Sex: Female";"Total";"35 to 39 years";"G-I Trade, transport, hotels, catering";"2020";67
"Sex: Female";"Total";"35 to 39 years";"G Wholesale and retail trade";"2020";47
"Sex: Female";"Total";"35 to 39 years";"H Transportation and storage";"2020";10
"Sex: Female";"Total";"35 to 39 years";"I Accommodation and food serving";"2020";11
"Sex: Female";"Total";"35 to 39 years";"J Information and communication";"2020";10
"Sex: Female";"Total";"35 to 39 years";"K Financial institutions";"2020";13
"Sex: Female";"Total";"35 to 39 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Female";"Total";"35 to 39 years";"M-N Business services";"2020";63
"Sex: Female";"Total";"35 to 39 years";"M Other specialised business services";"2020";25
"Sex: Female";"Total";"35 to 39 years";"N Renting and other business support";"2020";38
"Sex: Female";"Total";"35 to 39 years";"O-U Noncommercial services";"2020";201
"Sex: Female";"Total";"35 to 39 years";"O-Q Government and care";"2020";186
"Sex: Female";"Total";"35 to 39 years";"O Public administration and services";"2020";25
"Sex: Female";"Total";"35 to 39 years";"P Education";"2020";45
"Sex: Female";"Total";"35 to 39 years";"Q Health and social work activities";"2020";116
"Sex: Female";"Total";"35 to 39 years";"R-U Culture, recreation, other services";"2020";15
"Sex: Female";"Total";"35 to 39 years";"R Culture, sports and recreation";"2020";6
"Sex: Female";"Total";"35 to 39 years";"S Other service activities";"2020";9
"Sex: Female";"Total";"40 to 44 years";"A-U All economic activities";"2020";379
"Sex: Female";"Total";"40 to 44 years";"A-F Agriculture and industry";"2020";30
"Sex: Female";"Total";"40 to 44 years";"A Agriculture, forestry and fishing";"2020";3
"Sex: Female";"Total";"40 to 44 years";"B-F Manifacturing and energy";"2020";27
"Sex: Female";"Total";"40 to 44 years";"B-E Industry (no construction), energy";"2020";21
"Sex: Female";"Total";"40 to 44 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"40 to 44 years";"C Manufacturing";"2020";19
"Sex: Female";"Total";"40 to 44 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"40 to 44 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"40 to 44 years";"F Construction";"2020";5
"Sex: Female";"Total";"40 to 44 years";"G-N Commercial services";"2020";153
"Sex: Female";"Total";"40 to 44 years";"G-I Trade, transport, hotels, catering";"2020";66
"Sex: Female";"Total";"40 to 44 years";"G Wholesale and retail trade";"2020";46
"Sex: Female";"Total";"40 to 44 years";"H Transportation and storage";"2020";10
"Sex: Female";"Total";"40 to 44 years";"I Accommodation and food serving";"2020";10
"Sex: Female";"Total";"40 to 44 years";"J Information and communication";"2020";8
"Sex: Female";"Total";"40 to 44 years";"K Financial institutions";"2020";14
"Sex: Female";"Total";"40 to 44 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Female";"Total";"40 to 44 years";"M-N Business services";"2020";61
"Sex: Female";"Total";"40 to 44 years";"M Other specialised business services";"2020";23
"Sex: Female";"Total";"40 to 44 years";"N Renting and other business support";"2020";37
"Sex: Female";"Total";"40 to 44 years";"O-U Noncommercial services";"2020";196
"Sex: Female";"Total";"40 to 44 years";"O-Q Government and care";"2020";183
"Sex: Female";"Total";"40 to 44 years";"O Public administration and services";"2020";29
"Sex: Female";"Total";"40 to 44 years";"P Education";"2020";42
"Sex: Female";"Total";"40 to 44 years";"Q Health and social work activities";"2020";112
"Sex: Female";"Total";"40 to 44 years";"R-U Culture, recreation, other services";"2020";14
"Sex: Female";"Total";"40 to 44 years";"R Culture, sports and recreation";"2020";6
"Sex: Female";"Total";"40 to 44 years";"S Other service activities";"2020";8
"Sex: Female";"Total";"45 to 49 years";"A-U All economic activities";"2020";425
"Sex: Female";"Total";"45 to 49 years";"A-F Agriculture and industry";"2020";37
"Sex: Female";"Total";"45 to 49 years";"A Agriculture, forestry and fishing";"2020";4
"Sex: Female";"Total";"45 to 49 years";"B-F Manifacturing and energy";"2020";33
"Sex: Female";"Total";"45 to 49 years";"B-E Industry (no construction), energy";"2020";26
"Sex: Female";"Total";"45 to 49 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"45 to 49 years";"C Manufacturing";"2020";24
"Sex: Female";"Total";"45 to 49 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"45 to 49 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"45 to 49 years";"F Construction";"2020";6
"Sex: Female";"Total";"45 to 49 years";"G-N Commercial services";"2020";175
"Sex: Female";"Total";"45 to 49 years";"G-I Trade, transport, hotels, catering";"2020";79
"Sex: Female";"Total";"45 to 49 years";"G Wholesale and retail trade";"2020";56
"Sex: Female";"Total";"45 to 49 years";"H Transportation and storage";"2020";13
"Sex: Female";"Total";"45 to 49 years";"I Accommodation and food serving";"2020";11
"Sex: Female";"Total";"45 to 49 years";"J Information and communication";"2020";8
"Sex: Female";"Total";"45 to 49 years";"K Financial institutions";"2020";17
"Sex: Female";"Total";"45 to 49 years";"L Renting, buying, selling real estate";"2020";5
"Sex: Female";"Total";"45 to 49 years";"M-N Business services";"2020";67
"Sex: Female";"Total";"45 to 49 years";"M Other specialised business services";"2020";25
"Sex: Female";"Total";"45 to 49 years";"N Renting and other business support";"2020";42
"Sex: Female";"Total";"45 to 49 years";"O-U Noncommercial services";"2020";213
"Sex: Female";"Total";"45 to 49 years";"O-Q Government and care";"2020";198
"Sex: Female";"Total";"45 to 49 years";"O Public administration and services";"2020";32
"Sex: Female";"Total";"45 to 49 years";"P Education";"2020";40
"Sex: Female";"Total";"45 to 49 years";"Q Health and social work activities";"2020";125
"Sex: Female";"Total";"45 to 49 years";"R-U Culture, recreation, other services";"2020";15
"Sex: Female";"Total";"45 to 49 years";"R Culture, sports and recreation";"2020";6
"Sex: Female";"Total";"45 to 49 years";"S Other service activities";"2020";9
"Sex: Female";"Total";"50 to 54 years";"A-U All economic activities";"2020";454
"Sex: Female";"Total";"50 to 54 years";"A-F Agriculture and industry";"2020";38
"Sex: Female";"Total";"50 to 54 years";"A Agriculture, forestry and fishing";"2020";4
"Sex: Female";"Total";"50 to 54 years";"B-F Manifacturing and energy";"2020";34
"Sex: Female";"Total";"50 to 54 years";"B-E Industry (no construction), energy";"2020";28
"Sex: Female";"Total";"50 to 54 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"50 to 54 years";"C Manufacturing";"2020";26
"Sex: Female";"Total";"50 to 54 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"50 to 54 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"50 to 54 years";"F Construction";"2020";6
"Sex: Female";"Total";"50 to 54 years";"G-N Commercial services";"2020";176
"Sex: Female";"Total";"50 to 54 years";"G-I Trade, transport, hotels, catering";"2020";83
"Sex: Female";"Total";"50 to 54 years";"G Wholesale and retail trade";"2020";57
"Sex: Female";"Total";"50 to 54 years";"H Transportation and storage";"2020";14
"Sex: Female";"Total";"50 to 54 years";"I Accommodation and food serving";"2020";12
"Sex: Female";"Total";"50 to 54 years";"J Information and communication";"2020";7
"Sex: Female";"Total";"50 to 54 years";"K Financial institutions";"2020";17
"Sex: Female";"Total";"50 to 54 years";"L Renting, buying, selling real estate";"2020";5
"Sex: Female";"Total";"50 to 54 years";"M-N Business services";"2020";64
"Sex: Female";"Total";"50 to 54 years";"M Other specialised business services";"2020";23
"Sex: Female";"Total";"50 to 54 years";"N Renting and other business support";"2020";41
"Sex: Female";"Total";"50 to 54 years";"O-U Noncommercial services";"2020";240
"Sex: Female";"Total";"50 to 54 years";"O-Q Government and care";"2020";223
"Sex: Female";"Total";"50 to 54 years";"O Public administration and services";"2020";35
"Sex: Female";"Total";"50 to 54 years";"P Education";"2020";39
"Sex: Female";"Total";"50 to 54 years";"Q Health and social work activities";"2020";149
"Sex: Female";"Total";"50 to 54 years";"R-U Culture, recreation, other services";"2020";17
"Sex: Female";"Total";"50 to 54 years";"R Culture, sports and recreation";"2020";7
"Sex: Female";"Total";"50 to 54 years";"S Other service activities";"2020";10
"Sex: Female";"Total";"55 to 59 years";"A-U All economic activities";"2020";404
"Sex: Female";"Total";"55 to 59 years";"A-F Agriculture and industry";"2020";29
"Sex: Female";"Total";"55 to 59 years";"A Agriculture, forestry and fishing";"2020";3
"Sex: Female";"Total";"55 to 59 years";"B-F Manifacturing and energy";"2020";26
"Sex: Female";"Total";"55 to 59 years";"B-E Industry (no construction), energy";"2020";22
"Sex: Female";"Total";"55 to 59 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"55 to 59 years";"C Manufacturing";"2020";20
"Sex: Female";"Total";"55 to 59 years";"D Energy supply";"2020";1
"Sex: Female";"Total";"55 to 59 years";"E Water supply and waste management";"2020";1
"Sex: Female";"Total";"55 to 59 years";"F Construction";"2020";4
"Sex: Female";"Total";"55 to 59 years";"G-N Commercial services";"2020";134
"Sex: Female";"Total";"55 to 59 years";"G-I Trade, transport, hotels, catering";"2020";66
"Sex: Female";"Total";"55 to 59 years";"G Wholesale and retail trade";"2020";44
"Sex: Female";"Total";"55 to 59 years";"H Transportation and storage";"2020";12
"Sex: Female";"Total";"55 to 59 years";"I Accommodation and food serving";"2020";10
"Sex: Female";"Total";"55 to 59 years";"J Information and communication";"2020";5
"Sex: Female";"Total";"55 to 59 years";"K Financial institutions";"2020";11
"Sex: Female";"Total";"55 to 59 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Female";"Total";"55 to 59 years";"M-N Business services";"2020";49
"Sex: Female";"Total";"55 to 59 years";"M Other specialised business services";"2020";16
"Sex: Female";"Total";"55 to 59 years";"N Renting and other business support";"2020";33
"Sex: Female";"Total";"55 to 59 years";"O-U Noncommercial services";"2020";240
"Sex: Female";"Total";"55 to 59 years";"O-Q Government and care";"2020";225
"Sex: Female";"Total";"55 to 59 years";"O Public administration and services";"2020";33
"Sex: Female";"Total";"55 to 59 years";"P Education";"2020";40
"Sex: Female";"Total";"55 to 59 years";"Q Health and social work activities";"2020";152
"Sex: Female";"Total";"55 to 59 years";"R-U Culture, recreation, other services";"2020";15
"Sex: Female";"Total";"55 to 59 years";"R Culture, sports and recreation";"2020";6
"Sex: Female";"Total";"55 to 59 years";"S Other service activities";"2020";8
"Sex: Female";"Total";"60 to 64 years";"A-U All economic activities";"2020";273
"Sex: Female";"Total";"60 to 64 years";"A-F Agriculture and industry";"2020";18
"Sex: Female";"Total";"60 to 64 years";"A Agriculture, forestry and fishing";"2020";2
"Sex: Female";"Total";"60 to 64 years";"B-F Manifacturing and energy";"2020";16
"Sex: Female";"Total";"60 to 64 years";"B-E Industry (no construction), energy";"2020";14
"Sex: Female";"Total";"60 to 64 years";"B Mining and quarrying ";"2020";0
"Sex: Female";"Total";"60 to 64 years";"C Manufacturing";"2020";13
"Sex: Female";"Total";"60 to 64 years";"D Energy supply";"2020";0
"Sex: Female";"Total";"60 to 64 years";"E Water supply and waste management";"2020";0
"Sex: Female";"Total";"60 to 64 years";"F Construction";"2020";2
"Sex: Female";"Total";"60 to 64 years";"G-N Commercial services";"2020";81
"Sex: Female";"Total";"60 to 64 years";"G-I Trade, transport, hotels, catering";"2020";41
"Sex: Female";"Total";"60 to 64 years";"G Wholesale and retail trade";"2020";27
"Sex: Female";"Total";"60 to 64 years";"H Transportation and storage";"2020";8
"Sex: Female";"Total";"60 to 64 years";"I Accommodation and food serving";"2020";7
"Sex: Female";"Total";"60 to 64 years";"J Information and communication";"2020";3
"Sex: Female";"Total";"60 to 64 years";"K Financial institutions";"2020";6
"Sex: Female";"Total";"60 to 64 years";"L Renting, buying, selling real estate";"2020";2
"Sex: Female";"Total";"60 to 64 years";"M-N Business services";"2020";29
