,Sex of employee,Type of employment contract,Other characteristics employee,Industry class / branch (SIC2008),Periods,Employment/Jobs (x 1 000)
30387,Sex: Male,Total,65 to 74 years,P Education,2020,8.0
30402,Sex: Male,Total,65 to 74 years,Q Health and social work activities,2020,7.0
30417,Sex: Male,Total,65 to 74 years,"R-U Culture, recreation, other services",2020,4.0
30432,Sex: Male,Total,65 to 74 years,"R Culture, sports and recreation",2020,2.0
30447,Sex: Male,Total,65 to 74 years,S Other service activities,2020,2.0
30462,Sex: Male,Total,75 years or older,A-U All economic activities,2020,11.0
30477,Sex: Male,Total,75 years or older,A-F Agriculture and industry,2020,2.0
30492,Sex: Male,Total,75 years or older,"A Agriculture, forestry and fishing",2020,0.0
30507,Sex: Male,Total,75 years or older,B-F Manifacturing and energy,2020,1.0
30522,Sex: Male,Total,75 years or older,"B-E Industry (no construction), energy",2020,1.0
30537,Sex: Male,Total,75 years or older,B Mining and quarrying ,2020,0.0
30552,Sex: Male,Total,75 years or older,C Manufacturing,2020,1.0
30567,Sex: Male,Total,75 years or older,D Energy supply,2020,0.0
30582,Sex: Male,Total,75 years or older,E Water supply and waste management,2020,0.0
30597,Sex: Male,Total,75 years or older,F Construction,2020,1.0
30612,Sex: Male,Total,75 years or older,G-N Commercial services,2020,8.0
30627,Sex: Male,Total,75 years or older,"G-I Trade, transport, hotels, catering",2020,4.0
30642,Sex: Male,Total,75 years or older,G Wholesale and retail trade,2020,3.0
30657,Sex: Male,Total,75 years or older,H Transportation and storage,2020,1.0
30672,Sex: Male,Total,75 years or older,I Accommodation and food serving,2020,0.0
30687,Sex: Male,Total,75 years or older,J Information and communication,2020,0.0
30702,Sex: Male,Total,75 years or older,K Financial institutions,2020,2.0
30717,Sex: Male,Total,75 years or older,"L Renting, buying, selling real estate",2020,0.0
30732,Sex: Male,Total,75 years or older,M-N Business services,2020,2.0
30747,Sex: Male,Total,75 years or older,M Other specialised business services,2020,1.0
30762,Sex: Male,Total,75 years or older,N Renting and other business support,2020,1.0
30777,Sex: Male,Total,75 years or older,O-U Noncommercial services,2020,1.0
30792,Sex: Male,Total,75 years or older,O-Q Government and care,2020,1.0
30807,Sex: Male,Total,75 years or older,O Public administration and services,2020,0.0
30822,Sex: Male,Total,75 years or older,P Education,2020,0.0
30837,Sex: Male,Total,75 years or older,Q Health and social work activities,2020,0.0
30852,Sex: Male,Total,75 years or older,"R-U Culture, recreation, other services",2020,1.0
30867,Sex: Male,Total,75 years or older,"R Culture, sports and recreation",2020,0.0
30882,Sex: Male,Total,75 years or older,S Other service activities,2020,0.0
49602,Sex: Female,Total,Total,A-U All economic activities,2020,4029.0
49617,Sex: Female,Total,Total,A-F Agriculture and industry,2020,271.0
49632,Sex: Female,Total,Total,"A Agriculture, forestry and fishing",2020,39.0
49647,Sex: Female,Total,Total,B-F Manifacturing and energy,2020,232.0
49662,Sex: Female,Total,Total,"B-E Industry (no construction), energy",2020,190.0
49677,Sex: Female,Total,Total,B Mining and quarrying ,2020,1.0
49692,Sex: Female,Total,Total,C Manufacturing,2020,174.0
49707,Sex: Female,Total,Total,D Energy supply,2020,8.0
49722,Sex: Female,Total,Total,E Water supply and waste management,2020,7.0
49737,Sex: Female,Total,Total,F Construction,2020,42.0
49752,Sex: Female,Total,Total,G-N Commercial services,2020,1810.0
49767,Sex: Female,Total,Total,"G-I Trade, transport, hotels, catering",2020,953.0
49782,Sex: Female,Total,Total,G Wholesale and retail trade,2020,658.0
49797,Sex: Female,Total,Total,H Transportation and storage,2020,95.0
49812,Sex: Female,Total,Total,I Accommodation and food serving,2020,199.0
49827,Sex: Female,Total,Total,J Information and communication,2020,80.0
49842,Sex: Female,Total,Total,K Financial institutions,2020,108.0
49857,Sex: Female,Total,Total,"L Renting, buying, selling real estate",2020,33.0
49872,Sex: Female,Total,Total,M-N Business services,2020,636.0
49887,Sex: Female,Total,Total,M Other specialised business services,2020,221.0
49902,Sex: Female,Total,Total,N Renting and other business support,2020,416.0
49917,Sex: Female,Total,Total,O-U Noncommercial services,2020,1948.0
49932,Sex: Female,Total,Total,O-Q Government and care,2020,1792.0
49947,Sex: Female,Total,Total,O Public administration and services,2020,230.0
49962,Sex: Female,Total,Total,P Education,2020,353.0
49977,Sex: Female,Total,Total,Q Health and social work activities,2020,1208.0
49992,Sex: Female,Total,Total,"R-U Culture, recreation, other services",2020,156.0
50007,Sex: Female,Total,Total,"R Culture, sports and recreation",2020,70.0
50022,Sex: Female,Total,Total,S Other service activities,2020,87.0
50037,Sex: Female,Total,Younger than 15 years,A-U All economic activities,2020,8.0
50052,Sex: Female,Total,Younger than 15 years,A-F Agriculture and industry,2020,2.0
50067,Sex: Female,Total,Younger than 15 years,"A Agriculture, forestry and fishing",2020,1.0
50082,Sex: Female,Total,Younger than 15 years,B-F Manifacturing and energy,2020,0.0
50097,Sex: Female,Total,Younger than 15 years,"B-E Industry (no construction), energy",2020,0.0
50112,Sex: Female,Total,Younger than 15 years,B Mining and quarrying ,2020,0.0
50127,Sex: Female,Total,Younger than 15 years,C Manufacturing,2020,0.0
50142,Sex: Female,Total,Younger than 15 years,D Energy supply,2020,0.0
50157,Sex: Female,Total,Younger than 15 years,E Water supply and waste management,2020,0.0
50172,Sex: Female,Total,Younger than 15 years,F Construction,2020,0.0
50187,Sex: Female,Total,Younger than 15 years,G-N Commercial services,2020,6.0
50202,Sex: Female,Total,Younger than 15 years,"G-I Trade, transport, hotels, catering",2020,5.0
50217,Sex: Female,Total,Younger than 15 years,G Wholesale and retail trade,2020,4.0
50232,Sex: Female,Total,Younger than 15 years,H Transportation and storage,2020,0.0
50247,Sex: Female,Total,Younger than 15 years,I Accommodation and food serving,2020,1.0
50262,Sex: Female,Total,Younger than 15 years,J Information and communication,2020,0.0
50277,Sex: Female,Total,Younger than 15 years,K Financial institutions,2020,0.0
50292,Sex: Female,Total,Younger than 15 years,"L Renting, buying, selling real estate",2020,0.0
50307,Sex: Female,Total,Younger than 15 years,M-N Business services,2020,1.0
50322,Sex: Female,Total,Younger than 15 years,M Other specialised business services,2020,0.0
50337,Sex: Female,Total,Younger than 15 years,N Renting and other business support,2020,1.0
50352,Sex: Female,Total,Younger than 15 years,O-U Noncommercial services,2020,0.0
50367,Sex: Female,Total,Younger than 15 years,O-Q Government and care,2020,0.0
50382,Sex: Female,Total,Younger than 15 years,O Public administration and services,2020,0.0
50397,Sex: Female,Total,Younger than 15 years,P Education,2020,0.0
50412,Sex: Female,Total,Younger than 15 years,Q Health and social work activities,2020,0.0
50427,Sex: Female,Total,Younger than 15 years,"R-U Culture, recreation, other services",2020,0.0
50442,Sex: Female,Total,Younger than 15 years,"R Culture, sports and recreation",2020,0.0
50457,Sex: Female,Total,Younger than 15 years,S Other service activities,2020,0.0
50472,Sex: Female,Total,15 to 19 years,A-U All economic activities,2020,321.0
50487,Sex: Female,Total,15 to 19 years,A-F Agriculture and industry,2020,16.0
50502,Sex: Female,Total,15 to 19 years,"A Agriculture, forestry and fishing",2020,7.0
50517,Sex: Female,Total,15 to 19 years,B-F Manifacturing and energy,2020,9.0
50532,Sex: Female,Total,15 to 19 years,"B-E Industry (no construction), energy",2020,8.0
50547,Sex: Female,Total,15 to 19 years,B Mining and quarrying ,2020,0.0
50562,Sex: Female,Total,15 to 19 years,C Manufacturing,2020,8.0
50577,Sex: Female,Total,15 to 19 years,D Energy supply,2020,0.0
50592,Sex: Female,Total,15 to 19 years,E Water supply and waste management,2020,0.0
50607,Sex: Female,Total,15 to 19 years,F Construction,2020,1.0
50622,Sex: Female,Total,15 to 19 years,G-N Commercial services,2020,253.0
50637,Sex: Female,Total,15 to 19 years,"G-I Trade, transport, hotels, catering",2020,218.0
50652,Sex: Female,Total,15 to 19 years,G Wholesale and retail trade,2020,161.0
50667,Sex: Female,Total,15 to 19 years,H Transportation and storage,2020,2.0
50682,Sex: Female,Total,15 to 19 years,I Accommodation and food serving,2020,56.0
50697,Sex: Female,Total,15 to 19 years,J Information and communication,2020,2.0
50712,Sex: Female,Total,15 to 19 years,K Financial institutions,2020,1.0
50727,Sex: Female,Total,15 to 19 years,"L Renting, buying, selling real estate",2020,1.0
50742,Sex: Female,Total,15 to 19 years,M-N Business services,2020,31.0
50757,Sex: Female,Total,15 to 19 years,M Other specialised business services,2020,5.0
50772,Sex: Female,Total,15 to 19 years,N Renting and other business support,2020,26.0
50787,Sex: Female,Total,15 to 19 years,O-U Noncommercial services,2020,53.0
50802,Sex: Female,Total,15 to 19 years,O-Q Government and care,2020,42.0
50817,Sex: Female,Total,15 to 19 years,O Public administration and services,2020,2.0
50832,Sex: Female,Total,15 to 19 years,P Education,2020,3.0
50847,Sex: Female,Total,15 to 19 years,Q Health and social work activities,2020,38.0
50862,Sex: Female,Total,15 to 19 years,"R-U Culture, recreation, other services",2020,11.0
50877,Sex: Female,Total,15 to 19 years,"R Culture, sports and recreation",2020,6.0
50892,Sex: Female,Total,15 to 19 years,S Other service activities,2020,5.0
50907,Sex: Female,Total,20 to 24 years,A-U All economic activities,2020,431.0
50922,Sex: Female,Total,20 to 24 years,A-F Agriculture and industry,2020,19.0
50937,Sex: Female,Total,20 to 24 years,"A Agriculture, forestry and fishing",2020,5.0
50952,Sex: Female,Total,20 to 24 years,B-F Manifacturing and energy,2020,14.0
50967,Sex: Female,Total,20 to 24 years,"B-E Industry (no construction), energy",2020,11.0
50982,Sex: Female,Total,20 to 24 years,B Mining and quarrying ,2020,0.0
50997,Sex: Female,Total,20 to 24 years,C Manufacturing,2020,11.0
51012,Sex: Female,Total,20 to 24 years,D Energy supply,2020,0.0
51027,Sex: Female,Total,20 to 24 years,E Water supply and waste management,2020,0.0
51042,Sex: Female,Total,20 to 24 years,F Construction,2020,3.0
51057,Sex: Female,Total,20 to 24 years,G-N Commercial services,2020,246.0
51072,Sex: Female,Total,20 to 24 years,"G-I Trade, transport, hotels, catering",2020,142.0
51087,Sex: Female,Total,20 to 24 years,G Wholesale and retail trade,2020,91.0
51102,Sex: Female,Total,20 to 24 years,H Transportation and storage,2020,6.0
51117,Sex: Female,Total,20 to 24 years,I Accommodation and food serving,2020,45.0
51132,Sex: Female,Total,20 to 24 years,J Information and communication,2020,8.0
51147,Sex: Female,Total,20 to 24 years,K Financial institutions,2020,4.0
51162,Sex: Female,Total,20 to 24 years,"L Renting, buying, selling real estate",2020,2.0
51177,Sex: Female,Total,20 to 24 years,M-N Business services,2020,90.0
51192,Sex: Female,Total,20 to 24 years,M Other specialised business services,2020,22.0
51207,Sex: Female,Total,20 to 24 years,N Renting and other business support,2020,68.0
51222,Sex: Female,Total,20 to 24 years,O-U Noncommercial services,2020,166.0
51237,Sex: Female,Total,20 to 24 years,O-Q Government and care,2020,145.0
51252,Sex: Female,Total,20 to 24 years,O Public administration and services,2020,8.0
51267,Sex: Female,Total,20 to 24 years,P Education,2020,23.0
51282,Sex: Female,Total,20 to 24 years,Q Health and social work activities,2020,114.0
51297,Sex: Female,Total,20 to 24 years,"R-U Culture, recreation, other services",2020,21.0
51312,Sex: Female,Total,20 to 24 years,"R Culture, sports and recreation",2020,11.0
51327,Sex: Female,Total,20 to 24 years,S Other service activities,2020,10.0
51342,Sex: Female,Total,25 to 29 years,A-U All economic activities,2020,458.0
51357,Sex: Female,Total,25 to 29 years,A-F Agriculture and industry,2020,23.0
51372,Sex: Female,Total,25 to 29 years,"A Agriculture, forestry and fishing",2020,3.0
51387,Sex: Female,Total,25 to 29 years,B-F Manifacturing and energy,2020,20.0
51402,Sex: Female,Total,25 to 29 years,"B-E Industry (no construction), energy",2020,16.0
51417,Sex: Female,Total,25 to 29 years,B Mining and quarrying ,2020,0.0
51432,Sex: Female,Total,25 to 29 years,C Manufacturing,2020,15.0
51447,Sex: Female,Total,25 to 29 years,D Energy supply,2020,1.0
51462,Sex: Female,Total,25 to 29 years,E Water supply and waste management,2020,1.0
51477,Sex: Female,Total,25 to 29 years,F Construction,2020,4.0
51492,Sex: Female,Total,25 to 29 years,G-N Commercial services,2020,220.0
51507,Sex: Female,Total,25 to 29 years,"G-I Trade, transport, hotels, catering",2020,94.0
51522,Sex: Female,Total,25 to 29 years,G Wholesale and retail trade,2020,63.0
51537,Sex: Female,Total,25 to 29 years,H Transportation and storage,2020,10.0
51552,Sex: Female,Total,25 to 29 years,I Accommodation and food serving,2020,21.0
51567,Sex: Female,Total,25 to 29 years,J Information and communication,2020,15.0
51582,Sex: Female,Total,25 to 29 years,K Financial institutions,2020,10.0
51597,Sex: Female,Total,25 to 29 years,"L Renting, buying, selling real estate",2020,3.0
51612,Sex: Female,Total,25 to 29 years,M-N Business services,2020,98.0
51627,Sex: Female,Total,25 to 29 years,M Other specialised business services,2020,38.0
51642,Sex: Female,Total,25 to 29 years,N Renting and other business support,2020,60.0
51657,Sex: Female,Total,25 to 29 years,O-U Noncommercial services,2020,214.0
51672,Sex: Female,Total,25 to 29 years,O-Q Government and care,2020,195.0
51687,Sex: Female,Total,25 to 29 years,O Public administration and services,2020,19.0
51702,Sex: Female,Total,25 to 29 years,P Education,2020,38.0
51717,Sex: Female,Total,25 to 29 years,Q Health and social work activities,2020,139.0
51732,Sex: Female,Total,25 to 29 years,"R-U Culture, recreation, other services",2020,19.0
51747,Sex: Female,Total,25 to 29 years,"R Culture, sports and recreation",2020,8.0
51762,Sex: Female,Total,25 to 29 years,S Other service activities,2020,11.0
51777,Sex: Female,Total,30 to 34 years,A-U All economic activities,2020,424.0
51792,Sex: Female,Total,30 to 34 years,A-F Agriculture and industry,2020,26.0
51807,Sex: Female,Total,30 to 34 years,"A Agriculture, forestry and fishing",2020,3.0
51822,Sex: Female,Total,30 to 34 years,B-F Manifacturing and energy,2020,23.0
51837,Sex: Female,Total,30 to 34 years,"B-E Industry (no construction), energy",2020,19.0
51852,Sex: Female,Total,30 to 34 years,B Mining and quarrying ,2020,0.0
51867,Sex: Female,Total,30 to 34 years,C Manufacturing,2020,17.0
51882,Sex: Female,Total,30 to 34 years,D Energy supply,2020,1.0
51897,Sex: Female,Total,30 to 34 years,E Water supply and waste management,2020,1.0
51912,Sex: Female,Total,30 to 34 years,F Construction,2020,4.0
51927,Sex: Female,Total,30 to 34 years,G-N Commercial services,2020,182.0
51942,Sex: Female,Total,30 to 34 years,"G-I Trade, transport, hotels, catering",2020,77.0
51957,Sex: Female,Total,30 to 34 years,G Wholesale and retail trade,2020,54.0
51972,Sex: Female,Total,30 to 34 years,H Transportation and storage,2020,10.0
51987,Sex: Female,Total,30 to 34 years,I Accommodation and food serving,2020,14.0
52002,Sex: Female,Total,30 to 34 years,J Information and communication,2020,14.0
52017,Sex: Female,Total,30 to 34 years,K Financial institutions,2020,12.0
52032,Sex: Female,Total,30 to 34 years,"L Renting, buying, selling real estate",2020,3.0
52047,Sex: Female,Total,30 to 34 years,M-N Business services,2020,75.0
52062,Sex: Female,Total,30 to 34 years,M Other specialised business services,2020,30.0
52077,Sex: Female,Total,30 to 34 years,N Renting and other business support,2020,44.0
52092,Sex: Female,Total,30 to 34 years,O-U Noncommercial services,2020,216.0
52107,Sex: Female,Total,30 to 34 years,O-Q Government and care,2020,200.0
52122,Sex: Female,Total,30 to 34 years,O Public administration and services,2020,23.0
52137,Sex: Female,Total,30 to 34 years,P Education,2020,43.0
52152,Sex: Female,Total,30 to 34 years,Q Health and social work activities,2020,133.0
52167,Sex: Female,Total,30 to 34 years,"R-U Culture, recreation, other services",2020,17.0
52182,Sex: Female,Total,30 to 34 years,"R Culture, sports and recreation",2020,7.0
52197,Sex: Female,Total,30 to 34 years,S Other service activities,2020,10.0
52212,Sex: Female,Total,35 to 39 years,A-U All economic activities,2020,386.0
52227,Sex: Female,Total,35 to 39 years,A-F Agriculture and industry,2020,27.0
52242,Sex: Female,Total,35 to 39 years,"A Agriculture, forestry and fishing",2020,3.0
52257,Sex: Female,Total,35 to 39 years,B-F Manifacturing and energy,2020,25.0
52272,Sex: Female,Total,35 to 39 years,"B-E Industry (no construction), energy",2020,20.0
52287,Sex: Female,Total,35 to 39 years,B Mining and quarrying ,2020,0.0
52302,Sex: Female,Total,35 to 39 years,C Manufacturing,2020,18.0
52317,Sex: Female,Total,35 to 39 years,D Energy supply,2020,1.0
52332,Sex: Female,Total,35 to 39 years,E Water supply and waste management,2020,1.0
52347,Sex: Female,Total,35 to 39 years,F Construction,2020,5.0
52362,Sex: Female,Total,35 to 39 years,G-N Commercial services,2020,157.0
52377,Sex: Female,Total,35 to 39 years,"G-I Trade, transport, hotels, catering",2020,67.0
52392,Sex: Female,Total,35 to 39 years,G Wholesale and retail trade,2020,47.0
52407,Sex: Female,Total,35 to 39 years,H Transportation and storage,2020,10.0
52422,Sex: Female,Total,35 to 39 years,I Accommodation and food serving,2020,11.0
52437,Sex: Female,Total,35 to 39 years,J Information and communication,2020,10.0
52452,Sex: Female,Total,35 to 39 years,K Financial institutions,2020,13.0
52467,Sex: Female,Total,35 to 39 years,"L Renting, buying, selling real estate",2020,4.0
52482,Sex: Female,Total,35 to 39 years,M-N Business services,2020,63.0
52497,Sex: Female,Total,35 to 39 years,M Other specialised business services,2020,25.0
52512,Sex: Female,Total,35 to 39 years,N Renting and other business support,2020,38.0
52527,Sex: Female,Total,35 to 39 years,O-U Noncommercial services,2020,201.0
52542,Sex: Female,Total,35 to 39 years,O-Q Government and care,2020,186.0
52557,Sex: Female,Total,35 to 39 years,O Public administration and services,2020,25.0
52572,Sex: Female,Total,35 to 39 years,P Education,2020,45.0
52587,Sex: Female,Total,35 to 39 years,Q Health and social work activities,2020,116.0
52602,Sex: Female,Total,35 to 39 years,"R-U Culture, recreation, other services",2020,15.0
52617,Sex: Female,Total,35 to 39 years,"R Culture, sports and recreation",2020,6.0
52632,Sex: Female,Total,35 to 39 years,S Other service activities,2020,9.0
52647,Sex: Female,Total,40 to 44 years,A-U All economic activities,2020,379.0
52662,Sex: Female,Total,40 to 44 years,A-F Agriculture and industry,2020,30.0
52677,Sex: Female,Total,40 to 44 years,"A Agriculture, forestry and fishing",2020,3.0
52692,Sex: Female,Total,40 to 44 years,B-F Manifacturing and energy,2020,27.0
52707,Sex: Female,Total,40 to 44 years,"B-E Industry (no construction), energy",2020,21.0
52722,Sex: Female,Total,40 to 44 years,B Mining and quarrying ,2020,0.0
52737,Sex: Female,Total,40 to 44 years,C Manufacturing,2020,19.0
52752,Sex: Female,Total,40 to 44 years,D Energy supply,2020,1.0
52767,Sex: Female,Total,40 to 44 years,E Water supply and waste management,2020,1.0
52782,Sex: Female,Total,40 to 44 years,F Construction,2020,5.0
52797,Sex: Female,Total,40 to 44 years,G-N Commercial services,2020,153.0
52812,Sex: Female,Total,40 to 44 years,"G-I Trade, transport, hotels, catering",2020,66.0
52827,Sex: Female,Total,40 to 44 years,G Wholesale and retail trade,2020,46.0
52842,Sex: Female,Total,40 to 44 years,H Transportation and storage,2020,10.0
52857,Sex: Female,Total,40 to 44 years,I Accommodation and food serving,2020,10.0
52872,Sex: Female,Total,40 to 44 years,J Information and communication,2020,8.0
52887,Sex: Female,Total,40 to 44 years,K Financial institutions,2020,14.0
52902,Sex: Female,Total,40 to 44 years,"L Renting, buying, selling real estate",2020,4.0
52917,Sex: Female,Total,40 to 44 years,M-N Business services,2020,61.0
52932,Sex: Female,Total,40 to 44 years,M Other specialised business services,2020,23.0
52947,Sex: Female,Total,40 to 44 years,N Renting and other business support,2020,37.0
52962,Sex: Female,Total,40 to 44 years,O-U Noncommercial services,2020,196.0
52977,Sex: Female,Total,40 to 44 years,O-Q Government and care,2020,183.0
52992,Sex: Female,Total,40 to 44 years,O Public administration and services,2020,29.0
53007,Sex: Female,Total,40 to 44 years,P Education,2020,42.0
53022,Sex: Female,Total,40 to 44 years,Q Health and social work activities,2020,112.0
53037,Sex: Female,Total,40 to 44 years,"R-U Culture, recreation, other services",2020,14.0
53052,Sex: Female,Total,40 to 44 years,"R Culture, sports and recreation",2020,6.0
53067,Sex: Female,Total,40 to 44 years,S Other service activities,2020,8.0
53082,Sex: Female,Total,45 to 49 years,A-U All economic activities,2020,425.0
53097,Sex: Female,Total,45 to 49 years,A-F Agriculture and industry,2020,37.0
53112,Sex: Female,Total,45 to 49 years,"A Agriculture, forestry and fishing",2020,4.0
53127,Sex: Female,Total,45 to 49 years,B-F Manifacturing and energy,2020,33.0
53142,Sex: Female,Total,45 to 49 years,"B-E Industry (no construction), energy",2020,26.0
53157,Sex: Female,Total,45 to 49 years,B Mining and quarrying ,2020,0.0
53172,Sex: Female,Total,45 to 49 years,C Manufacturing,2020,24.0
53187,Sex: Female,Total,45 to 49 years,D Energy supply,2020,1.0
53202,Sex: Female,Total,45 to 49 years,E Water supply and waste management,2020,1.0
53217,Sex: Female,Total,45 to 49 years,F Construction,2020,6.0
53232,Sex: Female,Total,45 to 49 years,G-N Commercial services,2020,175.0
53247,Sex: Female,Total,45 to 49 years,"G-I Trade, transport, hotels, catering",2020,79.0
53262,Sex: Female,Total,45 to 49 years,G Wholesale and retail trade,2020,56.0
53277,Sex: Female,Total,45 to 49 years,H Transportation and storage,2020,13.0
53292,Sex: Female,Total,45 to 49 years,I Accommodation and food serving,2020,11.0
53307,Sex: Female,Total,45 to 49 years,J Information and communication,2020,8.0
53322,Sex: Female,Total,45 to 49 years,K Financial institutions,2020,17.0
53337,Sex: Female,Total,45 to 49 years,"L Renting, buying, selling real estate",2020,5.0
53352,Sex: Female,Total,45 to 49 years,M-N Business services,2020,67.0
53367,Sex: Female,Total,45 to 49 years,M Other specialised business services,2020,25.0
53382,Sex: Female,Total,45 to 49 years,N Renting and other business support,2020,42.0
53397,Sex: Female,Total,45 to 49 years,O-U Noncommercial services,2020,213.0
53412,Sex: Female,Total,45 to 49 years,O-Q Government and care,2020,198.0
53427,Sex: Female,Total,45 to 49 years,O Public administration and services,2020,32.0
53442,Sex: Female,Total,45 to 49 years,P Education,2020,40.0
53457,Sex: Female,Total,45 to 49 years,Q Health and social work activities,2020,125.0
53472,Sex: Female,Total,45 to 49 years,"R-U Culture, recreation, other services",2020,15.0
53487,Sex: Female,Total,45 to 49 years,"R Culture, sports and recreation",2020,6.0
53502,Sex: Female,Total,45 to 49 years,S Other service activities,2020,9.0
53517,Sex: Female,Total,50 to 54 years,A-U All economic activities,2020,454.0
53532,Sex: Female,Total,50 to 54 years,A-F Agriculture and industry,2020,38.0
53547,Sex: Female,Total,50 to 54 years,"A Agriculture, forestry and fishing",2020,4.0
53562,Sex: Female,Total,50 to 54 years,B-F Manifacturing and energy,2020,34.0
53577,Sex: Female,Total,50 to 54 years,"B-E Industry (no construction), energy",2020,28.0
53592,Sex: Female,Total,50 to 54 years,B Mining and quarrying ,2020,0.0
53607,Sex: Female,Total,50 to 54 years,C Manufacturing,2020,26.0
53622,Sex: Female,Total,50 to 54 years,D Energy supply,2020,1.0
53637,Sex: Female,Total,50 to 54 years,E Water supply and waste management,2020,1.0
53652,Sex: Female,Total,50 to 54 years,F Construction,2020,6.0
53667,Sex: Female,Total,50 to 54 years,G-N Commercial services,2020,176.0
53682,Sex: Female,Total,50 to 54 years,"G-I Trade, transport, hotels, catering",2020,83.0
53697,Sex: Female,Total,50 to 54 years,G Wholesale and retail trade,2020,57.0
53712,Sex: Female,Total,50 to 54 years,H Transportation and storage,2020,14.0
53727,Sex: Female,Total,50 to 54 years,I Accommodation and food serving,2020,12.0
53742,Sex: Female,Total,50 to 54 years,J Information and communication,2020,7.0
53757,Sex: Female,Total,50 to 54 years,K Financial institutions,2020,17.0
53772,Sex: Female,Total,50 to 54 years,"L Renting, buying, selling real estate",2020,5.0
53787,Sex: Female,Total,50 to 54 years,M-N Business services,2020,64.0
53802,Sex: Female,Total,50 to 54 years,M Other specialised business services,2020,23.0
53817,Sex: Female,Total,50 to 54 years,N Renting and other business support,2020,41.0
53832,Sex: Female,Total,50 to 54 years,O-U Noncommercial services,2020,240.0
53847,Sex: Female,Total,50 to 54 years,O-Q Government and care,2020,223.0
53862,Sex: Female,Total,50 to 54 years,O Public administration and services,2020,35.0
53877,Sex: Female,Total,50 to 54 years,P Education,2020,39.0
53892,Sex: Female,Total,50 to 54 years,Q Health and social work activities,2020,149.0
53907,Sex: Female,Total,50 to 54 years,"R-U Culture, recreation, other services",2020,17.0
53922,Sex: Female,Total,50 to 54 years,"R Culture, sports and recreation",2020,7.0
53937,Sex: Female,Total,50 to 54 years,S Other service activities,2020,10.0
53952,Sex: Female,Total,55 to 59 years,A-U All economic activities,2020,404.0
53967,Sex: Female,Total,55 to 59 years,A-F Agriculture and industry,2020,29.0
53982,Sex: Female,Total,55 to 59 years,"A Agriculture, forestry and fishing",2020,3.0
53997,Sex: Female,Total,55 to 59 years,B-F Manifacturing and energy,2020,26.0
54012,Sex: Female,Total,55 to 59 years,"B-E Industry (no construction), energy",2020,22.0
54027,Sex: Female,Total,55 to 59 years,B Mining and quarrying ,2020,0.0
54042,Sex: Female,Total,55 to 59 years,C Manufacturing,2020,20.0
54057,Sex: Female,Total,55 to 59 years,D Energy supply,2020,1.0
54072,Sex: Female,Total,55 to 59 years,E Water supply and waste management,2020,1.0
54087,Sex: Female,Total,55 to 59 years,F Construction,2020,4.0
54102,Sex: Female,Total,55 to 59 years,G-N Commercial services,2020,134.0
54117,Sex: Female,Total,55 to 59 years,"G-I Trade, transport, hotels, catering",2020,66.0
54132,Sex: Female,Total,55 to 59 years,G Wholesale and retail trade,2020,44.0
54147,Sex: Female,Total,55 to 59 years,H Transportation and storage,2020,12.0
54162,Sex: Female,Total,55 to 59 years,I Accommodation and food serving,2020,10.0
54177,Sex: Female,Total,55 to 59 years,J Information and communication,2020,5.0
54192,Sex: Female,Total,55 to 59 years,K Financial institutions,2020,11.0
54207,Sex: Female,Total,55 to 59 years,"L Renting, buying, selling real estate",2020,3.0
54222,Sex: Female,Total,55 to 59 years,M-N Business services,2020,49.0
54237,Sex: Female,Total,55 to 59 years,M Other specialised business services,2020,16.0
54252,Sex: Female,Total,55 to 59 years,N Renting and other business support,2020,33.0
54267,Sex: Female,Total,55 to 59 years,O-U Noncommercial services,2020,240.0
54282,Sex: Female,Total,55 to 59 years,O-Q Government and care,2020,225.0
54297,Sex: Female,Total,55 to 59 years,O Public administration and services,2020,33.0
54312,Sex: Female,Total,55 to 59 years,P Education,2020,40.0
54327,Sex: Female,Total,55 to 59 years,Q Health and social work activities,2020,152.0
54342,Sex: Female,Total,55 to 59 years,"R-U Culture, recreation, other services",2020,15.0
54357,Sex: Female,Total,55 to 59 years,"R Culture, sports and recreation",2020,6.0
54372,Sex: Female,Total,55 to 59 years,S Other service activities,2020,8.0
54387,Sex: Female,Total,60 to 64 years,A-U All economic activities,2020,273.0
54402,Sex: Female,Total,60 to 64 years,A-F Agriculture and industry,2020,18.0
54417,Sex: Female,Total,60 to 64 years,"A Agriculture, forestry and fishing",2020,2.0
54432,Sex: Female,Total,60 to 64 years,B-F Manifacturing and energy,2020,16.0
54447,Sex: Female,Total,60 to 64 years,"B-E Industry (no construction), energy",2020,14.0
54462,Sex: Female,Total,60 to 64 years,B Mining and quarrying ,2020,0.0
54477,Sex: Female,Total,60 to 64 years,C Manufacturing,2020,13.0
54492,Sex: Female,Total,60 to 64 years,D Energy supply,2020,0.0
54507,Sex: Female,Total,60 to 64 years,E Water supply and waste management,2020,0.0
54522,Sex: Female,Total,60 to 64 years,F Construction,2020,2.0
54537,Sex: Female,Total,60 to 64 years,G-N Commercial services,2020,81.0
54552,Sex: Female,Total,60 to 64 years,"G-I Trade, transport, hotels, catering",2020,41.0
54567,Sex: Female,Total,60 to 64 years,G Wholesale and retail trade,2020,27.0
54582,Sex: Female,Total,60 to 64 years,H Transportation and storage,2020,8.0
54597,Sex: Female,Total,60 to 64 years,I Accommodation and food serving,2020,7.0
